effect,number_of_effects,fraction_CI_excludes_zero,fraction_CI_contains_known_truth,mean_CI_width
Delta_well_supported,300,0.52,0.9033333333333333,0.757483720779419
Delta_poorly_supported,300,0.7433333333333333,0.9766666666666667,0.8780646920204163
DeltaDelta_well_supported,37943,0.2690878422897504,0.9390928498010174,1.069582223892212
DeltaDelta_poorly_supported,42661,0.23832071446989053,0.9543845667002648,1.2122126817703247
