effect,number_of_effects,fraction_CI_excludes_zero,fraction_CI_contains_known_truth
Delta_ij_hidden,1200,0.6258333333333334,0.945
DeltaDelta_ikj_at_least_one_hidden,203044,0.22196174228246093,0.947656665550324
